T1S-SQ,T1S-SA,T1S-SA_LLM,T1S-S_LLM_R,T1S-SA_CIMBUR,T1S-S_CIMBUR_R,T1S-SA_CFG,T1S-S_CFG_R,T1S-SA_Query,T1S-S_Query_R,T1S-SA_MT,T1S-S_MT_R,T1S-SA_COVE,T1S-S_COVE_R,T1S-SA_COVE_MT,T1S-S_COVE_MT_R,T1S-YNQ,T1S-YNA,T1S-YNA_LLM,T1S-YN_LLM_R,T1S-YNA_CIMBUR,T1S-YN_CIMBUR_R,T1S-YNA_CFG,T1S-YN_CFG_R,T1S-YNA_Query,T1S-YN_Query_R,T1S-YNA_MT,T1S-YN_MT_R,T1S-YNA_COVE,T1S-YN_COVE_R,T1S-YNA_COVE_MT,T1S-YN_COVE_MT_R
Summarize the error message for issue 100071,"The issue with number 100071 throws '`index_out_of_bounds_exception` when highlighting ""match_only_text"" fields'. The exception is java.lang.AssertionError: Unexpected ShardFailures, Caused by: org.elasticsearch.search.fetch.FetchPhaseExecutionException: Fetch Failed ","We recently found errors in some of the metrics dashboards that could be narrowed down to highlighting on a ""match_only_text"" field with a ""match_phrase"" query. This problem only seems to surface with several segments, so I wrote a test linked in this...",0,"The issue with number 100071 titled '`index_out_of_bounds_exception` when highlighting ""match_only_text"" fields' was created by cbuescher on 2023-09-29 and is closed. The exception stack trace includes the line 'at org.elasticsearch.search.fetch.FetchPhaseDocsIterator.iterate(FetchPhaseDocsIterator.java:73)'.",1,"The error message for issue 100071 is: ""Caused by: org.elasticsearch.search.fetch.FetchPhaseExecutionException: Fetch Failed [Error running fetch phase for doc [14]]""",1,"The error message, exceptions, and stack traces for issue 100071 are related to errors in metrics dashboards when highlighting on a ""match_only_text"" field with a ""match_phrase"" query.",0,"The error message for issue 100071 is '`index_out_of_bounds_exception` when highlighting ""match_only_text"" fields'.",1,"The specific error found in the metrics dashboards is an `index_out_of_bounds_exception` when highlighting ""match_only_text"" fields. The issue was narrowed down to highlighting on the 'match_only_text' field by finding errors in some metrics dashboards that could be linked to highlighting on that specific field with a ""match_phrase"" query. The problem only seems to surface with several segments because errors in metrics dashboards related to highlighting on a ""match_only_text"" field with a ""match_phrase"" query are found when there are multiple segments involved. The purpose of the test linked in the response is to check for failures related to aggregations/filter/Terms lookup getting cached.",0,"The error message for issue 100071 is '`index_out_of_bounds_exception` when highlighting ""match_only_text"" fields'.",1,is the issue 97494 produce on mac os?,No,"No, the issue 97494 does not mention anything about being produced on Mac OS.",1,"No, issue 97494 has not been reported to occur on Mac OS.",1,"No, the issue 97494 is not related to Mac OS.",1,"No, issue 97494 is not reported to occur on Mac OS.",1,"No, the issue 97494 is not occurring, manifesting, or observed on Mac OS.",1,"Yes, Mac OS is involved in issue 97494 as the issue creator is 'edsavage'.",0,"No, the issue 97494 is not occurring on Mac OS.",1
Summarize the steps to reproduce issue 104981,"Import 02shanky/finetuned-twitter-xlm-roberta-base-emotion model from huggingface: eland_import_hub_model --url {es_url} -u {es_user} -p {es_password} --insecure --hub-model-id 02shanky/finetuned-twitter-xlm-roberta-base-emotion --task-type text_classification --start
Go to Machine Learning -> Model Management -> Trained Models: test the model using the text: ""😱😱😱😱😱😱this is weird""","To summarize the steps to reproduce issue 104981, follow these steps:
1. Ensure Elasticsearch Version is 8.12.0
2. Ensure OS Version is Linux x86
3. Run inference using XML-RoBERTa model: 02shanky/finetuned-twitter-xlm-roberta-base-emotion
4. Input certain mixed emojis and strings, such as: 😱😱😱😱😱😱this is weird",0,"### Reproduction Steps for Issue 104981:

1. Ensure Elasticsearch Version is 8.12.0
2. Ensure OS Version is Linux x86
3. Run inference using XML-RoBERTa model: 02shanky/finetuned-twitter-xlm-roberta-base-emotion
4. Input certain mixed emojis and strings, such as: 😱😱😱😱😱😱this is weird",0,"To reproduce issue 104981, follow these steps:
1. Ensure Elasticsearch Version is 8.12.0
2. Ensure OS Version is Linux x86
3. Run inference using XML-RoBERTa model: 02shanky/finetuned-twitter-xlm-roberta-base-emotion
4. Input certain mixed emojis and strings like: 😱😱😱😱😱😱this is weird",0,"Summarize the reproduction steps for issue 104981 based on the provided information in the issue title, body, and labels:
Issue Title: [ML] _infer using XML-RoBERTa model failed when input contains emojis
Body: While running inference using XML-RoBERTa model: **02shanky/finetuned-twitter-xlm-roberta-base-emotion**, if input contains certain mixed emojis and strings , such as: `😱😱😱😱😱😱this is weird`
Labels: >bug, :ml, Team:ML",0,"To summarize the steps to reproduce issue 104981, follow these steps:
1. Ensure Elasticsearch Version is 8.12.0
2. Ensure OS Version is Linux x86
3. Run inference using XML-RoBERTa model: 02shanky/finetuned-twitter-xlm-roberta-base-emotion
4. Input certain mixed emojis and strings, such as: 😱😱😱😱😱😱this is weird",0,"To summarize the steps to reproduce issue 104981, follow these steps: Input certain mixed emojis and strings, such as: 😱😱😱😱😱😱this is weird. The issue can be reproduced with different Elasticsearch Versions and on different OS Versions. It is not specific to a particular model for inference.",0,"To summarize the steps to reproduce issue 104981, follow these steps: 
1. Ensure Elasticsearch Version 8.12.0 is installed
2. Use OS Version Linux x86
3. Run inference using XML-RoBERTa model '02shanky/finetuned-twitter-xlm-roberta-base-emotion'
4. Input certain mixed emojis and strings like '😱😱😱😱😱😱this is weird'",0,does issue 103840 use jdk8?,No,"No, issue 103840 uses jdk11, not jdk8.",1,"No, issue 103840 mentions the use of JDK11, not JDK8.",1,"No, issue 103840 uses jdk11, not jdk8.",1,"No, issue 103840 mentions the use of JDK11, not JDK8.",1,"No, issue 103840 does not use jdk8. The Java Version mentioned in the issue is ""jdk11"".",1,"No, issue 103840 does not exist in the database.",1,,1
,,,,,,,,,,,,,,,,is issue 104278 belongs to data management team?,No,"No, issue 104278 does not belong to the data management team.",1,The issue 104278 has not been assigned to the data management team.,1,"No, issue 104278 does not belong to the data management team as there are no assignees for this issue.",1,"No, issue 104278 is not assigned to the data management team.",1,"No, issue 104278 does not fall under the responsibility of the data management team.",1,"No, issue 104278 cannot be found in the data management team's records.",1,"No, issue 104278 is not assigned to the data management team.",1
,,,,,,,,,,,,,,,,is issue 98552 causing a CL failure?,Yes,"No, issue 98552 is not causing a CL failure.",0,"Yes, issue 98552 is causing a CL failure.",1,"No, issue 98552 is not causing a CL failure.",0,"The issue 98552 is already closed, so it is not causing a CL failure.",0,"No, issue 98552 is not causing a CL failure.",0,"No, issue 98552 is not causing a CL failure according to the response.",0,"No, issue 98552 is not causing a CL failure. The root cause of issue 98552 is related to how `MLConfigVersion` is working on 8.11 nodes, causing a CI failure. Issue 98552 has been resolved.",0
,,,,,,,,,,,,,,,,is issue 102111 s security related issue?,Yes,"No, issue 102111 is not a security related issue.",0,"Yes, issue 102111 is classified as a security-related issue.",1,"No, issue 102111 is not a security related issue.",0,"Yes, issue 102111 is classified as a security-related issue.",1,"Yes, the issue with ID 102111 is related to security.",1,"No, issue 102111 is not considered a security-related issue because it is labeled as a bug related to Security/Security, not specifically labeled as a security issue.",0,"Yes, issue 102111 is classified as a security-related issue.",1
,,,,,,,,,,,,,,,,in issue 96594 a low priority issue?,No,"No, issue 96594 is not a low priority issue.",1,"No, issue 96594 is not a low priority issue.",1,"No, issue 96594 is not a low priority issue.",1,The priority level of issue 96594 is high as it is labeled as '>bug'.,0,"No, issue 96594 is not considered a low priority issue.",1,"Yes, issue 96594 is considered a low priority issue as it has the label '>bug'.",0,"No, issue 96594 is not considered a low priority issue.",1
,,,,,,,,,,,,,,,,has issue 97494 been assigned?,Yes,"Yes, issue 97494 has been assigned to ChrisHegarty.",1,"Yes, issue 97494 has been assigned to an individual named ChrisHegarty.",1,"Yes, issue 97494 has been assigned to ChrisHegarty.",1,"Yes, issue 97494 has been assigned to an individual named ChrisHegarty.",1,"Yes, issue 97494 has been assigned to ChrisHegarty.",1,"No, issue 97494 does not exist.",0,"Yes, issue 97494 has been assigned to ChrisHegarty.",1
,,,,,,,,,,,,,,,,"is issue 100082 assigned to Team:Core/Infra?
",Yes,"No, issue 100082 is not assigned to Team:Core/Infra.",0,"yes, issue 100082 is assigned to Team:Core/Infra.",1,"No, issue 100082 is not assigned to Team:Core/Infra.",0,"No, issue 100082 is not assigned to Team:Core/Infra.",0,"No, issue 100082 has not been assigned to Team:Core/Infra.",0,"No, issue 100082 does not exist.",0,"No, issue number 100082 does not exist.",0
,,,,,,,,,,,,,,,,"is issue 98552 locally reproduced?

",Yes,"No, issue 98552 is not locally reproduced.",0,"Yes, Issue 98552 has been reproduced locally as it caused a CI failure related to the ML Config Version logic on new node versions.",1,"No, issue 98552 is not locally reproduced.",0,"Yes, issue 98552 has been locally reproduced.",1,Issue 98552 has been reproduced locally as it was causing a CI failure related to the ML Config Version logic on new node versions.,0,"No, issue 98552 is not locally reproduced.",0,"No, issue 98552 cannot be reproduced locally as it seems to be a real problem with how `MLConfigVersion` is working on 8.11 nodes.",0
,,,,,,,,,,,,,,,,is jdk 18 used in issue 103840?,No,"No, JDK 11 is used in issue 103840, not JDK 18.",1,"No, JDK 18 is not mentioned in the context of issue 103840. The Java Version mentioned is ""jdk11"".",1,"No, JDK 11 is used in issue 103840.",1,"No, JDK 18 is not mentioned in the context of issue 103840.",1,"No, JDK 18 is not used in issue 103840. The Java Version mentioned in the issue is ""jdk11"".",1,"No, JDK 18 is not used in issue 103840.",1,,1
,,,,,,,,,,,,,,,,is the issue 100964 produce  on official ES demo?,Yes,"No, the issue 100964 does not produce on the official ES demo.",0,"Specific steps were taken to reproduce issue 100964 on the official ES demo, but it was not successfully reproduced.",0,"No, the issue 100964 does not produce on the official ES demo.",0,"The issue 100964 was not closed, so it was not reproduced on the official ES demo.",0,"No, the official ES demo is not producing issue 100964.",0,"No, the issue 100964 is related to a bug in the Analytics/Aggregations team, not the official ES demo.",0,"No, the issue 100964 has been reported as open on the official ES demo.",0
,,,,,,,,,,,,,,,,is issue 95347 a crash issue?,yes,"No, issue 95347 is not classified as a crash issue.",0,The classification of issue 95347 is '>bug :Core/Infra/Settings Team:Core/Infra'.,1,"Yes, issue 95347 is a crash issue.",1,"No, issue 95347 is not classified as a crash issue.",0,"No, issue 95347 is not classified as a crash issue.",0,"No, issue 95347 is not a crash issue.",0,"No, issue 95347 is not classified as a crash issue.",0
,,,,,,,,,,,,,,,,does the issue 104981 produce on mac os?,No,"The issue 104981 does not produce on Mac OS, as the problem description mentions the OS version as ""Linux x86"".",1,"The issue 104981 does not occur on Mac OS, as confirmed by the verified source.",1,"The issue 104981 does not produce on mac os, as the OS Version mentioned in the problem description is ""Linux x86"".",1,"The issue 104981 does not occur on Mac OS, as the OS Version mentioned in the problem description is Linux x86.",1,"The issue 104981 does not manifest on Mac OS, as the problem description mentions the OS version as ""Linux x86"".",1,"The issue 104981 does produce on Mac OS, as mentioned in the problem description.",0,"The issue 104981 does not manifest on Mac OS, as the problem description mentions the OS Version as ""Linux x86.""",
,,,,,,,,,,,,,,,,does issue 100130 use jdk8?,No,"No, issue 100130 does not use jdk8. It uses openjdk version ""17.0.8"" 2023-07-18.",1,"No, issue 100130 mentions the use of JDK17, not JDK8.",1,"No, issue 100130 does not use jdk8. It uses openjdk version ""17.0.8"" 2023-07-18.",1,"No, issue 100130 mentions the use of JDK17, not JDK8.",1,,,"No, issue 100130 does not exist in the database.",1,,
