OpenJ9,,,,,,,,,,,,ElasticSearch,,,,,,,,,,,,Total,,,,,,,,,,
ChatGPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Preprocessor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T#,Y/N,Fact,Sum,Total,,T#,,,,,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total
T1(S),14,21,3,38,,T1 - Issue Anlys(S),58.3%,30.0%,25.0%,35.8%,,T1(S),14,26,6,46,,T1 - Issue Anlys(S),58.3%,37.1%,50.0%,43.4%,,T1(S),28,47,9,84,,T1 - Issue Anlys(S),58.3%,33.6%,37.5%,39.6%
T1(M),3,3,1,7,,T1 - Issue Anlys(M),50.0%,30.0%,25.0%,35.0%,,T1(M),4,4,2,10,,T1 - Issue Anlys(M),66.7%,40.0%,50.0%,50.0%,,T1(M),7,7,3,17,,T1 - Issue Anlys(M),58.3%,35.0%,37.5%,42.5%
T2,6,2,1,9,,T2 - Issue Trend,75.0%,25.0%,25.0%,45.0%,,T2,1,3,2,6,,T2 - Issue Trend,12.5%,37.5%,50.0%,30.0%,,T2,7,5,3,15,,T2 - Issue Trend,43.8%,31.3%,37.5%,37.5%
T3,0,1,8,9,,T3 - Issue Summary,0.0%,25.0%,50.0%,45.0%,,T3,0,2,9,11,,T3 - Issue Summary,0.0%,50.0%,56.3%,55.0%,,T3,0,3,17,20,,T3 - Issue Summary,0.0%,37.5%,53.1%,50.0%
T4,4,3,3,10,,T4 - Issue Labeling,66.7%,30.0%,75.0%,50.0%,,T4,4,3,2,9,,T4 - Issue Labeling,66.7%,30.0%,50.0%,45.0%,,T4,8,6,5,19,,T4 - Issue Labeling,66.7%,30.0%,62.5%,47.5%
T5,5,5,1,11,, T5 - Issue Backlog,83.3%,41.7%,50.0%,55.0%,,T5,2,7,0,9,, T5 - Issue Backlog,33.3%,58.3%,0.0%,45.0%,,T5,7,12,1,20,, T5 - Issue Backlog,58.3%,50.0%,25.0%,50.0%
Total,32,35,17,84,,Total,64.0%,30.7%,40.5%,40.8%,,Total,25,45,21,91,,Total,50.0%,39.5%,50.0%,44.2%,,Total,57,80,38,175,,Total,57.0%,35.1%,45.2%,42.5%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response Validator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T#,Y/N,Fact,Sum,Total,,T#,,,,,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total
T1(S),11,26,7,44,,T1 - Issue Anlys(S),45.8%,37.1%,58.3%,41.5%,,T1(S),11,28,5,44,,T1 - Issue Anlys(S),45.8%,40.0%,41.7%,41.5%,,T1(S),22,54,12,88,,T1 - Issue Anlys(S),45.8%,38.6%,50.0%,41.5%
T1(M),4,0,0,4,,T1 - Issue Anlys(M),66.7%,0.0%,0.0%,20.0%,,T1(M),3,2,0,5,,T1 - Issue Anlys(M),50.0%,20.0%,0.0%,25.0%,,T1(M),7,2,0,9,,T1 - Issue Anlys(M),58.3%,10.0%,0.0%,22.5%
T2,6,2,2,10,,T2 - Issue Trend,75.0%,25.0%,50.0%,50.0%,,T2,5,2,2,9,,T2 - Issue Trend,62.5%,25.0%,50.0%,45.0%,,T2,11,4,4,19,,T2 - Issue Trend,68.8%,25.0%,50.0%,47.5%
T3,0,2,9,11,,T3 - Issue Summary,0.0%,50.0%,56.3%,55.0%,,T3,0,3,9,12,,T3 - Issue Summary,0.0%,75.0%,56.3%,60.0%,,T3,0,5,18,23,,T3 - Issue Summary,0.0%,62.5%,56.3%,57.5%
T4,3,4,3,10,,T4 - Issue Labeling,50.0%,40.0%,75.0%,50.0%,,T4,3,4,2,9,,T4 - Issue Labeling,50.0%,40.0%,50.0%,45.0%,,T4,6,8,5,19,,T4 - Issue Labeling,50.0%,40.0%,62.5%,47.5%
T5,4,5,1,10,, T5 - Issue Backlog,66.7%,41.7%,50.0%,50.0%,,T5,5,4,0,9,, T5 - Issue Backlog,83.3%,33.3%,0.0%,45.0%,,T5,9,9,1,19,, T5 - Issue Backlog,75.0%,37.5%,25.0%,47.5%
Total,28,39,22,89,,Total,56.0%,34.2%,52.4%,43.2%,,Total,27,43,18,88,,Total,54.0%,37.7%,42.9%,42.7%,,Total,55,82,40,177,,Total,55.0%,36.0%,47.6%,43.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T#,Y/N,Fact,Sum,Total,,T#,,,,,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total
T1(S),19,47,8,74,,T1 - Issue Anlys(S),79.2%,67.1%,66.7%,69.8%,,T1(S),21,47,8,76,,T1 - Issue Anlys(S),87.5%,67.1%,66.7%,71.7%,,T1(S),40,94,16,150,,T1 - Issue Anlys(S),83.3%,67.1%,66.7%,70.8%
T1(M),4,2,2,8,,T1 - Issue Anlys(M),66.7%,20.0%,50.0%,40.0%,,T1(M),3,4,2,9,,T1 - Issue Anlys(M),50.0%,40.0%,50.0%,45.0%,,T1(M),7,6,4,17,,T1 - Issue Anlys(M),58.3%,30.0%,50.0%,42.5%
T2,7,3,2,12,,T2 - Issue Trend,87.5%,37.5%,50.0%,60.0%,,T2,4,4,2,10,,T2 - Issue Trend,50.0%,50.0%,50.0%,50.0%,,T2,11,7,4,22,,T2 - Issue Trend,68.8%,43.8%,50.0%,55.0%
T3,0,3,10,13,,T3 - Issue Summary,0.0%,75.0%,62.5%,65.0%,,T3,0,4,12,16,,T3 - Issue Summary,0.0%,100.0%,75.0%,80.0%,,T3,0,7,22,29,,T3 - Issue Summary,0.0%,87.5%,68.8%,72.5%
T4,5,5,4,14,,T4 - Issue Labeling,83.3%,50.0%,100.0%,70.0%,,T4,5,7,3,15,,T4 - Issue Labeling,83.3%,70.0%,75.0%,75.0%,,T4,10,12,7,29,,T4 - Issue Labeling,83.3%,60.0%,87.5%,72.5%
T5,6,6,1,13,, T5 - Issue Backlog,100.0%,50.0%,50.0%,65.0%,,T5,6,8,1,15,, T5 - Issue Backlog,100.0%,66.7%,50.0%,75.0%,,T5,12,14,2,28,, T5 - Issue Backlog,100.0%,58.3%,50.0%,70.0%
Total,41,66,27,134,,Total,82.0%,57.9%,64.3%,65.0%,,Total,39,74,28,141,,Total,78.0%,64.9%,66.7%,68.4%,,Total,80,140,55,275,,Total,80.0%,61.4%,65.5%,66.7%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoVe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T#,Y/N,Fact,Sum,Total,,T#,,,,,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total
T1(S),15,22,5,42,,T1 - Issue Anlys(S),62.5%,31.4%,41.7%,39.6%,,T1(S),9,20,5,34,,T1 - Issue Anlys(S),37.5%,28.6%,41.7%,32.1%,,T1(S),24,42,10,76,,T1 - Issue Anlys(S),50.0%,30.0%,41.7%,35.8%
T1(M),3,0,0,3,,T1 - Issue Anlys(M),50.0%,0.0%,0.0%,15.0%,,T1(M),2,3,0,5,,T1 - Issue Anlys(M),33.3%,30.0%,0.0%,25.0%,,T1(M),5,3,0,8,,T1 - Issue Anlys(M),41.7%,15.0%,0.0%,20.0%
T2,7,2,0,9,,T2 - Issue Trend,87.5%,25.0%,0.0%,45.0%,,T2,2,0,1,3,,T2 - Issue Trend,25.0%,0.0%,25.0%,15.0%,,T2,9,2,1,12,,T2 - Issue Trend,56.3%,12.5%,12.5%,30.0%
T3,0,2,7,9,,T3 - Issue Summary,0.0%,50.0%,43.8%,45.0%,,T3,0,3,6,9,,T3 - Issue Summary,0.0%,75.0%,37.5%,45.0%,,T3,0,5,13,18,,T3 - Issue Summary,0.0%,62.5%,40.6%,45.0%
T4,5,3,4,12,,T4 - Issue Labeling,83.3%,30.0%,100.0%,60.0%,,T4,3,4,3,10,,T4 - Issue Labeling,50.0%,40.0%,75.0%,50.0%,,T4,8,7,7,22,,T4 - Issue Labeling,66.7%,35.0%,87.5%,55.0%
T5,6,3,1,10,, T5 - Issue Backlog,100.0%,25.0%,50.0%,50.0%,,T5,6,4,0,10,, T5 - Issue Backlog,100.0%,33.3%,0.0%,50.0%,,T5,12,7,1,20,, T5 - Issue Backlog,100.0%,29.2%,25.0%,50.0%
Total,36,32,17,85,,Total,72.0%,28.1%,40.5%,41.3%,,Total,22,34,15,71,,Total,44.0%,29.8%,35.7%,34.5%,,Total,58,66,32,156,,Total,58.0%,28.9%,38.1%,37.9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T#,Y/N,Fact,Sum,Total,,T#,,,,,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total
T1(S),16,26,8,50,,T1 - Issue Anlys(S),66.7%,37.1%,66.7%,47.2%,,T1(S),13,33,8,54,,T1 - Issue Anlys(S),54.2%,47.1%,66.7%,50.9%,,T1(S),29,59,16,104,,T1 - Issue Anlys(S),60.4%,42.1%,66.7%,49.1%
T1(M),3,2,0,5,,T1 - Issue Anlys(M),50.0%,20.0%,0.0%,25.0%,,T1(M),4,3,0,7,,T1 - Issue Anlys(M),66.7%,30.0%,0.0%,35.0%,,T1(M),7,5,0,12,,T1 - Issue Anlys(M),58.3%,25.0%,0.0%,30.0%
T2,6,2,2,10,,T2 - Issue Trend,75.0%,25.0%,50.0%,50.0%,,T2,4,1,2,7,,T2 - Issue Trend,50.0%,12.5%,50.0%,35.0%,,T2,10,3,4,17,,T2 - Issue Trend,62.5%,18.8%,50.0%,42.5%
T3,0,1,9,10,,T3 - Issue Summary,0.0%,25.0%,56.3%,50.0%,,T3,3,3,10,16,,T3 - Issue Summary,0.0%,75.0%,62.5%,80.0%,,T3,3,4,19,26,,T3 - Issue Summary,0.0%,50.0%,59.4%,65.0%
T4,4,3,3,10,,T4 - Issue Labeling,66.7%,30.0%,75.0%,50.0%,,T4,4,6,2,12,,T4 - Issue Labeling,66.7%,60.0%,50.0%,60.0%,,T4,8,9,5,22,,T4 - Issue Labeling,66.7%,45.0%,62.5%,55.0%
T5,6,2,1,9,, T5 - Issue Backlog,100.0%,16.7%,50.0%,45.0%,,T5,6,4,0,10,, T5 - Issue Backlog,100.0%,33.3%,0.0%,50.0%,,T5,12,6,1,19,, T5 - Issue Backlog,100.0%,25.0%,25.0%,47.5%
Total,35,36,23,94,,Total,70.0%,31.6%,54.8%,45.6%,,Total,34,50,22,106,,Total,68.0%,43.9%,52.4%,51.5%,,Total,69,86,45,200,,Total,69.0%,37.7%,53.6%,48.5%
